ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,ICONO
45,La Patina,Calle principal al Templo SN,La Patina,rural,Hacienda Arriba,Iglesia,21.1955556,-101.7055556,Brecha Digital,Satelital,788,Instalado,place
47,La Sandia,En el Templo,La Sandia,rural,La Sandia,Iglesia,20.9223528,-101.697,Brecha Digital,Satelital,2136,Instalado,place
52,Los Ramirez,Calle principal SN,Los Ramirez,rural,Los Ramirez,Iglesia,21.0196667,-101.6459333,Brecha Digital,Satelital,2473,Instalado,place
53,Los Sauces,Calle Lopez Mateos SN,Los Sauces,rural,Los Sauces,Iglesia,21.0234778,-101.5393806,Brecha Digital,Satelital,1228,Instalado,place
56,Nuevo Lindero,Calle Ignacio Medina 20,Nuevo Lindero,rural,La Sandia,Iglesia,21.9588889,-101.6369444,Brecha Digital,Satelital,896,Instalado,place
57,Puerta de San German,Calle Feliciano Domiguez,Puerta de San German,rural,Santa Rosa Plan de Ayala,Iglesia,21.0336111,-101.7802778,Brecha Digital,Satelital,827,Instalado,place
59,Rancho Nuevo La Luz,Templo de la Comunidad,Rancho Nuevo La Luz,rural,Rancho Nuevo La Venta,Iglesia,21.9630556,-101.645,Brecha Digital,Satelital,1025,Instalado,place
62,San Juan de Otates,Calle principal SN,San Juan de Otates,rural,San Juan de Otates,Iglesia,21.1144639,-101.5577833,Brecha Digital,Satelital,2905,Instalado,place
63,San Judas,Calle San Judas SN,Frente al Templo,rural,La Sandia,Iglesia,21.9991667,-101.7047222,Brecha Digital,Satelital,1698,Instalado,place
66,El Terrero,Calle Alamo 3,El Terrero,rural,Santa Ana del Conde,Iglesia,20.9611111,-101.6052778,Brecha Digital,Satelital,208,Instalado,place
23,Cuesta Blanca,Terreno ubicado a un costado de la calle principal,Cuesta Blanca,rural,Duarte,Otro,21.105861,-101.49116,Brecha Digital,Radiobase,137,Instalado,place
27,San Jose de Otates Sur,Comedor comunitario de la comunidad,San Jose de Otates Sur,rural,Nuevo Valle de Moreno,Otro,21.2602499,-101.5787527,Brecha Digital,Radiobase,73,Instalado,place
29,San Jose de los Romeros,Calle Juarez 60,San Jose de los Romeros,rural,Los Sauces,Otro,21.0371698,-101.4924811,Brecha Digital,Radiobase,137,Instalado,place
36,Ejido Pompa,Calle Lazaro Cardenas 202,Ejido Pompa,rural,Los Ramirez,Otro,21.0752778,-101.6875,Brecha Digital,Radiobase,77,Instalado,place
64,San Pedro del Monte,Calle de las haciendas,San Pedro del Monte,rural,Santa Rosa Plan de Ayala,Otro,21.0313889,-101.7147222,Brecha Digital,Satelital,857,Instalado,place
67,Mesa de Ibarrilla,El centro de salud tentativamene,Mesa de Ibarrilla,rural,Huizache,Otro,21.223234,-101.638172,Brecha Digital,,220,Planeado,place
69,El Huizache,Plancha de concreto junto al Centro de Salud,El Huizache,rural,Huizache,Otro,21.244692,-101.587187,Brecha Digital,,32,Planeado,place
21,Los Alisos,Casa del guardabosques y comedor comunitario de la comunidad,Los Alisos,rural,Alfaro,Particular,21.1343948,-101.6485637,Brecha Digital,Radiobase,54,Instalado,place
37,El Capricho,Casa particular a un lado del templo,El Capricho,rural,La Sandia,Particular,21.9977778,-101.69,Brecha Digital,Satelital,1249,Instalado,place
38,El Nacimiento,Calle Privada Santa Maria 128,El Nacimiento,rural,Rancho Nuevo La Venta,Particular,21.0583333,-101.7722222,Brecha Digital,Satelital,280,Instalado,place
40,El Vergel,Calle Vergel SN,El Vergel,rural,San Juan de Otates,Particular,21.075,-101.69,Brecha Digital,Satelital,288,Instalado,place
44,La Laborcita,Calle principal 113,La Laborcita,rural,San Juan de Otates,Particular,21.1069739,-101.5576617,Brecha Digital,Satelital,1567,Instalado,place
46,La Providencia,Calle primero de enero 6,La Providencia,rural,La Sandia,Particular,21.0741667,-101.66,Brecha Digital,Satelital,797,Instalado,place
49,Lagunillas,Calle Andador del Caserio 104,Lagunillas,rural,Rancho Nuevo La Venta,Particular,21.2022222,-101.765,Brecha Digital,Satelital,552,Instalado,place
50,Los Arcos,Arco Olimpico 205,Los Arcos,rural,Los Ramirez,Particular,21.0491667,-101.6872222,Brecha Digital,Satelital,1174,Instalado,place
54,Loza de los Padres,Calle principal SN predio particular,Loza de los Padres,rural,Duarte,Particular,21.0716667,-101.5472222,Brecha Digital,Satelital,2875,Instalado,place
55,Lucio Blanco,Lucio Blanco SN Cuenca Rio lerma,Lucio Blanco,rural,San Juan de Otates,Particular,21.1152778,-101.5511111,Brecha Digital,Satelital,1218,Instalado,place
58,Puerta del Cerro,Calle Carlos Medina SN,Puerta del Cerro,rural,Rancho Nuevo La Venta,Particular,21.05,-101.7861111,Brecha Digital,Satelital,417,Instalado,place
60,San Carlos La Roncha,Casa particular a un lado del templo,San Carlos La Roncha,rural,San Juan de Otates,Particular,21.0710083,-101.5872667,Brecha Digital,Satelital,0,Instalado,place
61,San Jose del Barron El Cachete,Calle principal SN,San Jose del Barron,rural,Los Ramirez,Particular,21.1619444,-101.4963889,Brecha Digital,Satelital,160,Instalado,place
65,Santa Rosa Plan de Ayala,Templo de la Comunidad,Santa Rosa Plan de Ayala,rural,Santa Rosa Plan de Ayala,Particular,21.0709528,-101.7222111,Brecha Digital,Satelital,5134,Instalado,place
73,Llano Grande,Predio particular sobre la carretera (tienda de la comunidad),Llano Grande,rural,Alfaro,Particular,21.156225,-101.581025,Brecha Digital,,57,Planeado,place
16,Plaza de la Ciudadania Griselda Alvarez,Boulevard Vasco de Quiroga 2101,Presidentes de Mexico,urbana,León de los Aldama,Plaza,21.1393885,-101.6514,Brecha Digital,,0,Instalado,place
17,Plaza de la Ciudadania Efrain Huerta,Calle Hegel esquina Pascal SN,Soledad de las Joyas,urbana,León de los Aldama,Plaza,21.140619,-101.7566187,Brecha Digital,,0,Instalado,place
18,Plaza de la Ciudadania Praxedis Guerrero,Calle Felix Romero 613,Periodistas mexicanos,urbana,León de los Aldama,Plaza,21.09342,-101.7521077,Brecha Digital,,0,Instalado,place
26,Nuevo Valle de Moreno,Plaza Principal,Nuevo Valle de Moreno,rural,Nuevo Valle de Moreno,Plaza,21.2107683,-101.42503,Brecha Digital,Radiobase,863,Instalado,place
31,San Rafael Cerro Verde,Plaza Principal,San Rafael Cerro Verde,rural,Nuevo Valle de Moreno,Plaza,21.16274,-101.46,Brecha Digital,Radiobase,47,Instalado,place
32,Vaquerias,En la Plaza principal frente a la iglesia,Vaquerias,rural,Nuevo Valle de Moreno,Plaza,21.1553558,-101.4017567,Brecha Digital,Radiobase,974,Instalado,place
48,Ladrillera del Refugio,Plaza del templo,Ladrillera del Refugio,rural,San Juan de Otates,Plaza,21.0847222,-101.5536111,Brecha Digital,Satelital,1642,Instalado,place
71,Ojo de Agua de los Reyes,Plaza principal,Ojo de Agua de los Reyes,rural,Alfaro,Plaza,21.189019,-101.621215,Brecha Digital,,624,Planeado,place
72,Los Naranjos,Plaza principal saliendo del templo,Los Naranjos,rural,Alfaro,Plaza,21.168461,-101.626194,Brecha Digital,,793,Planeado,place
74,Zaragoza,Plaza principal  frente al templo,Zaragoza,rural,Los Sauces,Plaza,21.0310742,-101.507943,Brecha Digital,,495,Planeado,place
75,Playas de Sotelo,Plaza principal frente a la secundaria,Playas de Sotelo,rural,Santa Ana del Conde,Plaza,20.966386,-101.550268,Brecha Digital,,892,Planeado,place
76,Santa Ana del Conde ,Plaza principal  explanada,Santa Ana del Conde ,rural,Santa Ana del Conde,Plaza,20.959029,-101.578064,Brecha Digital,,3456,Planeado,place
77,La Arcina ,Plaza a un lado del tanque elevado exmuro de la hacienda,La Arcina ,rural,Santa Ana del Conde,Plaza,20.941201,-101.614122,Brecha Digital,,896,Planeado,place
78,La Cinta,Plaza principal junto a la tienda grande,La Cinta,rural,La Sandia,Plaza,20.929385,-101.671549,Brecha Digital,,367,Planeado,place
79,Los Tepetates ,Camino a San Antonio de los Tepetates Plaza principal al lado del Templo,Los Tepetates ,rural,Los Ramirez,Plaza,21.044766,-101.674572,Brecha Digital,,1118,Planeado,place
81,El Resplandor,Plaza principal,El Resplandor,rural,La Sandia,Plaza,21.00103,-101.604518,Brecha Digital,,738,Planeado,place
82,El Consuelo (San Jose del Consuelo),Plaza principal junto al templo,El Consuelo (San Jose del Consuelo),rural,La Sandia,Plaza,21.010958,-101.690159,Brecha Digital,,349,Planeado,place
83,Estancia de los Sapos,Plaza principal dentro de la reja del templo,Estancia de los Sapos,rural,Santa Rosa Plan de Ayala,Plaza,21.024779,-101.746299,Brecha Digital,,672,Planeado,place
19,San Francisco de Duran (San AgustÌn del Mirasol),Alvaro Obregon,San Francisco de los Duran,rural,Los Ramirez,Vialidad,21.0047765,-101.6234388,Brecha Digital,Radiobase,2311,Instalado,place
25,La Mesa del Obispo,Frente a comedor comunitario,Mesa del Obispo,rural,Nuevo Valle de Moreno,Vialidad,21.14766,-101.43512,Brecha Digital,Radiobase,19,Instalado,place
70,Hacienda Arriba,Calle principal en la parada de autob˙s,Hacienda Arriba,rural,Hacienda Arriba,Vialidad,21.231131,-101.70473,Brecha Digital,,1570,Planeado,place
87,11DES0028B,"Carretera Leon, San Franciscosn Kilometro 1.5",Portales De San Sebastian,urbana,León de los Aldama,Escuela,21.10182,-101.70554,Conectividad SEG - ISP,Sin informacion,1046,Instalado,place
88,11DES0097Y,Josefina Camarena Num. 901,Leon Ii,urbana,León de los Aldama,Escuela,21.10845,-101.7283,Conectividad SEG - ISP,Sin informacion,1277,Instalado,place
89,11DES0098X,"Avenida Prolongacion Rio Mayo Numero Exterior: 102 , Colonia Sant",Santo Domingo,urbana,León de los Aldama,Escuela,21.093182,-101.668776,Conectividad SEG - ISP,Sin informacion,873,Instalado,place
90,11DES0102T,Boulevard Epsilon Num. 1105,Valle Verde,urbana,León de los Aldama,Escuela,21.08009,-101.62151,Conectividad SEG - ISP,Sin informacion,1517,Instalado,place
91,11DES0104R,San Francisco De Asis Num. Sn,San Jose Del Consuelo Ii,urbana,León de los Aldama,Escuela,21.15798,-101.64823,Conectividad SEG - ISP,Sin informacion,1238,Instalado,place
92,11DES0108N,Domenico Ibañez De Arquicia Num. Sn Club Cinegetico Del Bajio,Fraccionamiento Villas De San Nicolas Ii,urbana,León de los Aldama,Escuela,21.124664,-101.589361,Conectividad SEG - ISP,Sin informacion,821,Instalado,place
93,11DES0109M,Avenida Ambar Esquina Balastra Num. Sn,Villas De San Juan,urbana,León de los Aldama,Escuela,21.09258,-101.58733,Conectividad SEG - ISP,Sin informacion,1532,Instalado,place
94,11DES0114Y,"Calle Amianto Numero Exterior: Sn, Colonia Rizos Del Saucillo, Co",Rizos Del Saucillo,urbana,RIZOS DE LA JOYA (RIZOS DEL SAUCILLO),Escuela,21.149339,-101.761355,Conectividad SEG - ISP,Sin informacion,455,Instalado,place
95,11DES0115X,Boulevard Caliope Num. 3101,Lomas Del Mirador,urbana,León de los Aldama,Escuela,21.152826,-101.734279,Conectividad SEG - ISP,Sin informacion,1401,Instalado,place
96,11DES0121H,"Calle Sigma Numero Exterior: 413 , Colonia Valle Dorado, Codigo P",Valle Dorado,urbana,León de los Aldama,Escuela,21.082003,-101.62056,Conectividad SEG - ISP,Sin informacion,877,Instalado,place
97,11DJN2672N,Diablos Rojos Num. 217,Deportiva Ii,urbana,León de los Aldama,Escuela,21.14946,-101.64389,Conectividad SEG - ISP,Sin informacion,188,Instalado,place
98,11DPR1918Z,San Pedrito Num. 712,Coecillo,urbana,León de los Aldama,Escuela,21.13011,-101.66425,Conectividad SEG - ISP,Sin informacion,416,Instalado,place
99,11DPR2100P,Cortijo De Ansar S/N San Antonio Del Monte,Malagana,rural,MALAGANA (SAN ANTONIO DEL MONTE),Escuela,21.04916,-101.7524,Conectividad SEG - ISP,Sin informacion,150,Instalado,place
100,11DPR2118O,Purisima De Guadalupe S/N Carretera Leon-Santa Ana Del Conde,No Aplica,rural,SAN FRANCISCO DE DURAN (SAN AGUSTIN DEL MIRAS,Escuela,21.00638,-101.62289,Conectividad SEG - ISP,Sin informacion,453,Instalado,place
101,11DPR2808A,Ejido Comunidad El Consuelo S/N,Ejido El Consuelo,rural,SAN JOSE DEL CONSUELO (LA ENVIDIA),Escuela,21.0145,-101.69145,Conectividad SEG - ISP,Sin informacion,83,Instalado,place
102,11DPR3085U,Articulo 27 Num. 101,Libertad,urbana,León de los Aldama,Escuela,21.05825,-101.61942,Conectividad SEG - ISP,Sin informacion,676,Instalado,place
