ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,FECHA_INSTAL,ICONO
31,San Rafael Cerro Verde,Plaza Principal,San Rafael Cerro Verde,rural,Nuevo Valle de Moreno,Plaza,21.16274,-101.46,Brecha Digital,Radiobase,47,Instalado,ene-19,employees
32,Vaquerias,En la Plaza principal frente a la iglesia,Vaquerias,rural,Nuevo Valle de Moreno,Plaza,21.1553558,-101.4017567,Brecha Digital,Radiobase,974,Instalado,dic-18,employees
33,Albarradones,Calle Central SN,Parroquia de Nuestra SeÒora del Refugio,rural,Los Sauces,Iglesia,21.04022,101.50401,Brecha Digital,Satelital,810,Instalado,mar-19,plus
34,Benito de Juarez,Juan de Grijalva 116,Dentro del Jardin de NiÒos Amado Nervo,rural,Santa Ana del Conde,Escuela,20.95925,101.57643,Brecha Digital,Satelital,86,Instalado,mar-19,calculator
35,Duarte,Calle La luz SN,Duarte,rural,Duarte,Iglesia,21.08565,-101.5222028,Brecha Digital,Satelital,6261,Instalado,mar-19,plus
36,Ejido Pompa,Calle Lazaro Cardenas 202,Ejido Pompa,rural,Santa Rosa Plan de Ayala,Otro,21.0752778,-101.6875,Brecha Digital,Radiobase,77,Instalado,mar-19,place
37,El Capricho,Casa particular a un lado del templo,El Capricho,rural,La Sandia,Particular,20.99775,101.69184,Brecha Digital,Satelital,1249,Instalado,mar-19,home
38,El Nacimiento,Calle Privada Santa Maria 128,El Nacimiento,rural,Rancho Nuevo La Venta,Particular,21.0583333,-101.7722222,Brecha Digital,Satelital,280,Instalado,mar-19,home
39,El Ramillete,Templo de la Virgen del Sagrado Corazon de Jesus,El Ramillete,rural,Santa Rosa Plan de Ayala,Iglesia,21.0430847,-101.5914621,Brecha Digital,Satelital,880,Instalado,mar-19,plus
40,El Vergel,Calle Vergel SN,El Vergel,rural,San Juan de Otates,Particular,21.13271,101.60108,Brecha Digital,Satelital,288,Instalado,mar-19,home
